len_1,dir_1,len_2,dir_2,len_3,dir_3,len_4,dir_4,len_5,dir_5,len_6,dir_6,len_7,dir_7,len_8,dir_8,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,sum_len,min_len,max_len,n_fwd,n_bwd,n_small,n_large,iat_sum,iat_max,syn0,ack0,fin0,rst0,psh0,proto_tcp,port_src,port_dst,label
40,-1,1458,1,1458,1,1458,1,1458,1,784,1,40,-1,40,-1,0.08988380432128906,0.03504753112792969,0.03504753112792969,0.09202957153320312,0.0400543212890625,0.017881393432617188,0.2799034118652344,6860,40,1458,5,4,4,4,0.8759498596191406,0.286102294921875,0,1,0,0,0,1,63964,445,ssh
132,1,112,-1,40,1,148,1,172,-1,148,1,172,-1,148,1,0.5691051483154297,15.136957168579102,78.96089553833008,0.18405914306640625,2.0558834075927734,0.2460479736328125,6.580114364624023,4204,40,172,16,13,29,0,265.6540870666504,78.96089553833008,0,1,0,0,1,1,63960,445,ssh
148,1,172,-1,148,1,172,-1,148,1,172,-1,148,1,172,-1,0.30994415283203125,4.13203239440918,0.3199577331542969,0.49996376037597656,0.24199485778808594,5.124092102050781,0.2760887145996094,17860,40,4294,20,12,25,7,195.64008712768555,56.57196044921875,0,1,0,0,1,1,63964,445,ssh
40,-1,1458,1,1458,1,1458,1,1458,1,784,1,40,-1,40,-1,0.08988380432128906,0.03504753112792969,0.03504753112792969,0.09202957153320312,0.0400543212890625,0.017881393432617188,0.2799034118652344,6860,40,1458,5,4,4,4,0.8759498596191406,0.286102294921875,0,1,0,0,0,1,63964,445,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.012874603271484375,0.023126602172851562,0.014066696166992188,0.017881393432617188,0.00095367431640625,0.0171661376953125,0.025987625122070312,17204,464,932,32,0,0,0,0.5059242248535156,0.03910064697265625,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,928,1,464,1,464,1,464,1,464,1,464,1,0.0011920928955078125,0.03886222839355469,0.00095367431640625,0.03719329833984375,0.00095367431640625,0.00095367431640625,0.03790855407714844,17916,464,1012,32,0,0,0,0.5071163177490234,0.03910064697265625,0,0,0,0,0,0,52698,9000,ssh
492,1,464,1,928,1,464,1,464,1,464,1,464,1,464,1,0.03910064697265625,0.00095367431640625,0.03600120544433594,0.00095367431640625,0.00095367431640625,0.03910064697265625,0.00095367431640625,16740,464,932,32,0,0,0,0.46896934509277344,0.03910064697265625,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.0011920928955078125,0.03695487976074219,0.00095367431640625,0.00095367431640625,0.03814697265625,0.00095367431640625,0.00095367431640625,16312,464,932,32,0,0,0,1022.0601558685303,1021.6360092163086,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.012874603271484375,0.014066696166992188,0.016927719116210938,0.02002716064453125,0.0011920928955078125,0.02193450927734375,0.02002716064453125,14856,464,468,32,0,0,0,0.4420280456542969,0.03910064697265625,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.00095367431640625,0.00095367431640625,0.03600120544433594,0.0011920928955078125,0.00095367431640625,0.03600120544433594,0.00095367431640625,15784,464,928,32,0,0,0,0.43702125549316406,0.041961669921875,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.03600120544433594,0.00095367431640625,0.0011920928955078125,0.035762786865234375,0.0011920928955078125,0.00095367431640625,0.03790855407714844,14852,464,468,32,0,0,0,0.4279613494873047,0.04100799560546875,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,468,1,464,1,464,1,464,1,464,1,464,1,0.0011920928955078125,0.03790855407714844,0.00095367431640625,0.00095367431640625,0.03504753112792969,0.00095367431640625,0.03719329833984375,14772,380,468,32,0,0,0,0.43010711669921875,0.041961669921875,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,500,1,492,1,464,1,468,1,464,1,0.0011920928955078125,0.03790855407714844,0.00095367431640625,0.0021457672119140625,0.033855438232421875,0.0021457672119140625,0.00095367431640625,14836,380,500,32,0,0,0,265.1650905609131,264.77503776550293,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.010967254638671875,0.01621246337890625,0.02384185791015625,0.0209808349609375,0.0011920928955078125,0.019788742065429688,0.025987625122070312,14988,132,932,32,0,1,0,1.2331008911132812,0.7491111755371094,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.00095367431640625,0.03504753112792969,0.00095367431640625,0.03600120544433594,0.00095367431640625,0.0021457672119140625,0.03695487976074219,14884,464,492,32,0,0,0,0.4260540008544922,0.03910064697265625,0,0,0,0,0,0,52698,9000,ssh
464,1,464,1,464,1,464,1,464,1,464,1,464,1,464,1,0.00095367431640625,0.0011920928955078125,0.03600120544433594,0.00095367431640625,0.00095367431640625,0.03600120544433594,0.0019073486328125,14852,464,468,32,0,0,0,0.39196014404296875,0.04100799560546875,0,0,0,0,0,0,52698,9000,ssh
169,1,52,-1,169,-1,52,1,169,1,52,-1,681,1,52,-1,0.37598609924316406,3.7338733673095703,0.5769729614257812,0.7891654968261719,43.83993148803711,0.637054443359375,0.3600120544433594,10682,52,1561,16,16,23,4,80.49583435058594,43.83993148803711,0,1,0,0,1,1,52538,443,meet
52,-1,169,1,52,-1,169,1,52,-1,169,-1,169,1,52,-1,0.6120204925537109,0.2961158752441406,0.7798671722412109,0.3020763397216797,3.7050247192382812,18.590927124023438,0.3311634063720703,18616,52,1458,9,23,19,9,106.90617561340332,48.269033432006836,0,1,0,0,0,1,52538,443,meet
1458,-1,1458,-1,1458,-1,52,1,52,1,1458,-1,1458,-1,1458,-1,0.028848648071289062,0.026941299438476562,0.3371238708496094,0.19288063049316406,0.08106231689453125,0.03314018249511719,0.00095367431640625,28170,52,2068,10,22,12,17,7.330894470214844,1.483917236328125,0,1,0,0,1,1,52538,443,meet
2864,-1,1458,-1,1458,-1,2864,-1,2864,-1,52,1,979,-1,520,1,0.030994415283203125,0.07295608520507812,0.03409385681152344,0.04601478576660156,0.027894973754882812,0.11610984802246094,0.19693374633789062,35239,52,2864,10,22,9,16,3.9970874786376953,0.4730224609375,0,1,0,0,0,1,52538,443,meet
258,-1,169,1,52,-1,1561,-1,286,1,52,1,1458,-1,1458,-1,0.3199577331542969,0.41604042053222656,0.03790855407714844,0.30303001403808594,0.17595291137695312,0.030994415283203125,0.010013580322265625,34378,52,2864,10,22,9,19,3.3369064331054688,0.41604042053222656,0,1,0,0,1,1,52538,443,meet
1561,-1,2864,-1,1458,-1,1458,-1,2864,-1,1105,1,52,1,1458,-1,0.051021575927734375,0.0019073486328125,0.04696846008300781,0.051021575927734375,0.4360675811767578,0.00095367431640625,0.3809928894042969,47481,52,4306,10,22,7,22,3.181934356689453,0.4360675811767578,0,1,0,0,1,1,52538,443,meet
4270,-1,1458,-1,52,1,52,1,397,-1,52,1,1458,-1,1458,-1,0.0591278076171875,0.13709068298339844,0.08177757263183594,0.03719329833984375,0.07295608520507812,0.09989738464355469,0.0400543212890625,47812,52,4270,10,22,8,20,3.1042098999023438,0.4220008850097656,0,1,0,0,0,1,52538,443,meet
1458,-1,4270,-1,2864,-1,4270,-1,52,1,52,1,1458,-1,52,1,0.0591278076171875,0.05984306335449219,0.06198883056640625,0.048160552978515625,0.00095367431640625,0.010967254638671875,0.11992454528808594,58402,52,4270,9,23,8,22,2.5169849395751953,0.3809928894042969,0,1,0,0,0,1,52538,443,meet
2864,-1,2864,-1,1458,-1,1458,-1,752,1,2864,-1,52,1,52,1,0.05602836608886719,0.06079673767089844,0.0011920928955078125,0.00286102294921875,0.05817413330078125,0.00476837158203125,0.28014183044433594,56997,52,4270,7,25,6,24,1.8608570098876953,0.28014183044433594,0,1,0,0,0,1,52538,443,meet
1458,-1,52,1,52,1,1391,-1,4270,-1,1458,-1,1458,-1,4270,-1,0.07510185241699219,0.22602081298828125,0.3380775451660156,0.055789947509765625,0.05817413330078125,0.00095367431640625,0.06389617919921875,65280,52,5676,8,24,6,25,3.013134002685547,0.3380775451660156,0,1,0,0,1,1,52538,443,meet
4548,-1,52,1,1458,-1,4270,-1,4270,-1,2864,-1,4270,-1,403,1,0.030040740966796875,0.11014938354492188,0.06580352783203125,0.06103515625,0.06008148193359375,0.06198883056640625,0.031948089599609375,84701,52,4548,3,29,2,29,1.9512176513671875,0.2980232238769531,0,1,0,0,1,1,52538,443,meet
2864,-1,4270,-1,52,1,52,1,52,1,1458,-1,948,-1,52,1,0.06198883056640625,0.051975250244140625,0.0,0.0011920928955078125,0.007867813110351562,0.0019073486328125,0.10514259338378906,68862,52,4270,8,24,6,25,3.261089324951172,1.1799335479736328,0,1,0,0,0,1,52538,443,meet
1604,1,1604,1,1604,1,1480,1,1604,1,124,1,1604,1,1480,1,0.0011920928955078125,0.00095367431640625,0.051975250244140625,0.00095367431640625,0.00095367431640625,0.05602836608886719,0.00095367431640625,36768,124,1604,32,0,9,23,0.5002021789550781,0.06604194641113281,0,0,0,0,0,0,13231,31026,meet
1604,1,124,1,1604,1,1604,1,124,-1,1480,1,124,1,1604,1,0.00095367431640625,0.00095367431640625,0.00095367431640625,0.048160552978515625,0.017881393432617188,0.00095367431640625,0.0011920928955078125,30972,124,1604,28,4,13,19,0.5848407745361328,0.07700920104980469,0,0,0,0,0,0,13231,31026,meet
1604,1,1604,1,1480,1,124,1,1480,1,124,-1,124,-1,124,-1,0.03981590270996094,0.0011920928955078125,0.00095367431640625,1.1370182037353516,0.47898292541503906,0.014066696166992188,0.0019073486328125,22092,124,1604,21,11,19,13,2.1398067474365234,1.1370182037353516,0,0,0,0,0,0,13231,31026,meet
1480,1,1604,1,124,1,1604,1,1604,1,1480,1,1604,1,124,1,0.0011920928955078125,0.00095367431640625,0.032901763916015625,0.00095367431640625,0.03600120544433594,0.0011920928955078125,0.00095367431640625,43308,124,1604,32,0,5,27,0.49614906311035156,0.051975250244140625,0,0,0,0,0,0,13231,31026,meet
1604,1,1480,1,124,1,1604,1,1604,1,1480,1,1604,1,1604,1,0.05793571472167969,0.0011920928955078125,0.00095367431640625,0.00095367431640625,0.05507469177246094,0.00095367431640625,0.00095367431640625,31468,124,1604,24,8,13,19,0.5481243133544922,0.08392333984375,0,0,0,0,0,0,13231,31026,meet
1604,1,1480,1,1604,1,1604,1,124,1,1604,1,1604,1,1480,1,0.0629425048828125,0.00095367431640625,0.00095367431640625,0.0011920928955078125,0.00095367431640625,0.0019073486328125,0.06103515625,41704,124,1604,32,0,6,26,0.49996376037597656,0.07295608520507812,0,0,0,0,0,0,13231,31026,meet
1604,1,124,1,1480,1,124,1,1480,1,124,1,1480,1,124,1,0.07605552673339844,0.0820159912109375,0.00095367431640625,0.1480579376220703,0.02002716064453125,0.02288818359375,0.00095367431640625,33808,124,1604,32,0,11,21,0.7069110870361328,0.1480579376220703,0,0,0,0,0,0,13231,31026,meet
1604,1,1604,1,1604,1,1480,1,1604,1,1604,1,124,1,1480,1,0.041961669921875,0.00095367431640625,0.04410743713378906,0.00095367431640625,0.00095367431640625,0.00095367431640625,0.04410743713378906,37016,124,1604,32,0,9,23,0.8258819580078125,0.3440380096435547,0,0,0,0,0,0,13231,31026,meet
1604,1,1480,1,124,1,1604,1,1480,1,124,1,1480,1,124,1,0.028133392333984375,0.00095367431640625,0.032901763916015625,0.0011920928955078125,0.00095367431640625,0.031948089599609375,0.00095367431640625,29616,124,1604,26,6,14,18,0.431060791015625,0.041961669921875,0,0,0,0,0,0,13231,31026,meet
1480,1,124,1,124,-1,124,-1,1480,1,124,1,1604,1,124,-1,0.00095367431640625,0.0030994415283203125,0.03600120544433594,0.0059604644775390625,0.00095367431640625,0.0011920928955078125,0.033855438232421875,26780,124,1604,23,9,16,16,0.3731250762939453,0.05698204040527344,0,0,0,0,0,0,13231,31026,meet
1480,1,124,1,124,-1,124,-1,124,-1,124,-1,124,-1,124,-1,0.0011920928955078125,0.5259513854980469,0.012874603271484375,0.0021457672119140625,0.015974044799804688,0.017881393432617188,0.019073486328125,28136,124,1604,24,8,15,17,1.024007797241211,0.5259513854980469,0,0,0,0,0,0,13231,31026,meet
124,1,1480,1,1604,1,124,1,1480,1,1604,1,124,1,1480,1,0.04982948303222656,0.00095367431640625,0.0011920928955078125,0.05793571472167969,0.00095367431640625,0.00095367431640625,0.0011920928955078125,32328,124,1604,32,0,11,20,0.7998943328857422,0.2071857452392578,0,0,0,0,0,0,13231,31026,meet
60,1,60,-1,52,1,569,1,52,-1,1452,-1,1452,-1,1652,-1,3.556966781616211,0.4830360412597656,0.2319812774658203,3.551006317138672,15.218019485473633,0.024080276489257812,0.04792213439941406,5839,52,1652,8,8,12,3,12671.956062316895,10027.448892593384,1,0,0,0,0,1,59974,443,meet
60,-1,60,1,52,-1,569,-1,52,1,1452,1,1452,1,1452,1,3.564119338989258,0.5109310150146484,0.4661083221435547,3.5920143127441406,14.20903205871582,0.025987625122070312,0.02384185791015625,9213,52,2662,9,9,12,4,91486.6189956665,46393.970012664795,1,0,0,0,0,1,443,56368,meet
1278,1,1278,-1,1278,1,69,1,1278,-1,1278,-1,1278,-1,822,-1,4.652976989746094,2.1979808807373047,11.363983154296875,0.3230571746826172,0.010967254638671875,0.014066696166992188,0.00095367431640625,23036,53,1278,14,18,13,15,41.63694381713867,12.160778045654297,0,0,0,0,0,0,44239,443,meet
63,1,61,1,61,1,61,1,1278,-1,1278,-1,1278,-1,1278,-1,0.02193450927734375,0.014066696166992188,0.012874603271484375,0.5130767822265625,0.024080276489257812,0.00095367431640625,0.026941299438476562,29912,61,2556,10,22,10,21,3.239870071411133,1.135110855102539,0,0,0,0,0,0,44239,443,meet
61,1,61,1,61,1,61,1,61,1,61,1,53,-1,879,1,0.023126602172851562,0.013828277587890625,0.5559921264648438,0.02002716064453125,0.21600723266601562,24.608135223388672,2462.8589153289795,20837,53,1278,13,19,15,13,2553.1039237976074,2462.8589153289795,0,0,0,0,0,0,44239,443,meet
192,-1,340,-1,61,1,61,1,61,1,61,1,1271,-1,1278,-1,0.00095367431640625,0.18405914306640625,0.02002716064453125,0.015974044799804688,0.011920928955078125,1.6989707946777344,0.031948089599609375,16751,61,1278,14,18,16,9,5.712032318115234,1.6989707946777344,0,0,0,0,0,0,44239,443,meet
1271,-1,1278,-1,1278,-1,59,-1,1271,-1,1278,-1,511,-1,61,1,0.03695487976074219,0.00095367431640625,0.00095367431640625,0.4611015319824219,0.04291534423828125,0.0011920928955078125,0.3287792205810547,25582,59,1278,9,23,10,16,6.447076797485352,1.1551380157470703,0,0,0,0,0,0,44239,443,meet
61,1,61,1,61,1,1271,-1,533,-1,363,-1,1271,-1,1278,-1,0.8671283721923828,0.0209808349609375,0.09703636169433594,0.05507469177246094,0.0019073486328125,0.6299018859863281,0.03814697265625,29656,61,1278,5,27,5,21,11.307001113891602,3.721952438354492,0,0,0,0,0,0,44239,443,meet
1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,0.00095367431640625,0.0021457672119140625,0.041961669921875,0.00095367431640625,0.00095367431640625,0.04100799560546875,0.04696846008300781,37663,61,1278,1,31,2,29,3.796100616455078,2.6569366455078125,0,0,0,0,0,0,44239,443,meet
1278,-1,208,-1,61,1,61,1,61,1,61,1,62,1,1271,-1,0.00095367431640625,2.3131370544433594,0.7128715515136719,2.251148223876953,5.382776260375977,1.5320777893066406,1.6591548919677734,26540,57,1278,8,24,10,18,257.9479217529297,142.5650119781494,0,0,0,0,0,0,44239,443,meet
1278,-1,1278,-1,2556,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,0.030994415283203125,0.00095367431640625,0.030040740966796875,0.032901763916015625,0.03600120544433594,0.00095367431640625,0.00095367431640625,42373,64,2556,1,31,2,30,2.6369094848632812,1.1799335479736328,0,0,0,0,0,0,44239,443,meet
1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,2556,-1,1278,-1,0.00095367431640625,0.00095367431640625,0.00095367431640625,0.0011920928955078125,0.053882598876953125,0.00095367431640625,0.06008148193359375,39499,61,2556,3,29,3,28,2.1810531616210938,1.6360282897949219,0,0,0,0,0,0,44239,443,meet
1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1278,-1,1.2531280517578125,0.3368854522705078,0.06103515625,0.00095367431640625,0.0011920928955078125,0.00095367431640625,0.05602836608886719,37306,61,2556,4,28,4,28,2.897024154663086,1.2531280517578125,0,0,0,0,0,0,44239,443,meet
1278,-1,1026,-1,61,1,61,1,61,1,61,1,62,1,1073,1,0.05793571472167969,1.21307373046875,0.008821487426757812,0.023126602172851562,1.9869804382324219,1.397848129272461,242.76208877563477,25521,54,1278,11,21,11,17,273.7879753112793,242.76208877563477,0,0,0,0,0,0,44239,443,meet
1278,1,1278,-1,1278,1,1278,-1,1278,-1,1278,-1,808,-1,69,1,4.230976104736328,3.968954086303711,10.069847106933594,0.011205673217773438,0.031948089599609375,0.02193450927734375,0.7090568542480469,24866,53,1278,12,20,12,17,95.61896324157715,65.3829574584961,0,0,0,0,0,0,35433,443,meet
839,-1,65,1,61,1,61,1,61,1,61,1,61,1,1273,-1,0.7431507110595703,0.1838207244873047,0.023126602172851562,0.014066696166992188,0.012874603271484375,0.20694732666015625,0.7581710815429688,4355,53,1278,8,6,10,2,29.421091079711914,26.124954223632812,0,0,0,0,0,0,35433,443,meet
60,1,60,-1,52,1,569,1,52,-1,1452,-1,1452,-1,1452,-1,3.5429000854492188,0.7290840148925781,0.21696090698242188,3.5500526428222656,14.02902603149414,0.010013580322265625,0.010013580322265625,8956,52,1452,10,10,13,4,90490.2880191803,45398.46587181091,1,0,0,0,0,1,59052,443,meet
1278,1,1278,-1,1278,1,69,1,1278,-1,1278,-1,1278,-1,720,-1,4.492998123168945,2.154111862182617,10.743856430053711,1.1470317840576172,0.0021457672119140625,0.011920928955078125,0.00095367431640625,18863,53,1278,16,16,17,11,481.99009895324707,389.9669647216797,0,0,0,0,0,0,49927,443,meet
55,-1,61,1,696,-1,63,1,270,-1,61,1,53,-1,1274,1,26.24201774597168,10.246992111206055,0.8749961853027344,0.23603439331054688,29.063940048217773,0.1399517059326172,2400.200128555298,14503,53,1278,18,14,19,8,12586.941003799438,8448.62699508667,0,0,0,0,0,0,49927,443,meet
1278,1,1021,1,55,-1,53,-1,61,1,698,-1,83,-1,63,1,0.024080276489257812,4.317998886108398,0.1308917999267578,26.63707733154297,54.223060607910156,0.6740093231201172,0.5118846893310547,10205,53,1278,16,16,22,2,35685.80102920532,13902.722835540771,0,0,0,0,0,0,49927,443,meet
157,-1,63,1,53,-1,61,1,53,-1,61,1,1143,1,55,-1,0.4711151123046875,28.66387367248535,0.7319450378417969,2.7480125427246094,0.7040500640869141,10975.942134857178,4.001855850219727,7840,53,1272,16,16,24,2,42011.351108551025,17000.196933746338,0,0,0,0,0,0,49927,443,meet
61,1,53,-1,53,-1,62,1,931,1,56,-1,61,1,705,-1,0.007867813110351562,3.2989978790283203,4.794120788574219,10323.778867721558,4.024028778076172,25.821924209594727,12.360095977783203,6702,53,1039,15,15,23,0,31030.025959014893,10473.25587272644,0,0,0,0,0,0,49927,443,meet
1278,1,1278,-1,1278,1,1278,-1,1278,-1,1274,-1,53,-1,69,1,4.428863525390625,8.82411003112793,5.012989044189453,0.02384185791015625,0.04220008850097656,0.0019073486328125,0.7998943328857422,10690,53,1278,12,12,15,6,7900.564908981323,7774.431943893433,0,0,0,0,0,0,57815,443,meet
60,1,60,-1,52,1,569,1,52,-1,1452,-1,1452,-1,1452,-1,3.5660266876220703,1.3461112976074219,5.85484504699707,3.564119338989258,14.266014099121094,0.010013580322265625,0.009059906005859375,12756,52,1599,13,12,16,7,90652.89115905762,45551.092863082886,1,0,0,0,0,1,47154,443,meet
1278,1,1278,-1,1278,1,69,1,1278,-1,1278,-1,1278,-1,202,-1,4.096031188964844,2.2568702697753906,9.544134140014648,2.26593017578125,0.013113021850585938,0.009775161743164062,0.0011920928955078125,14543,53,1278,15,17,19,8,81.48002624511719,28.9461612701416,0,0,0,0,0,0,50329,443,meet
1278,1,105,1,1278,-1,817,-1,96,-1,107,1,61,1,154,-1,0.0030994415283203125,18.187999725341797,0.00286102294921875,0.0011920928955078125,2.1779537200927734,0.00286102294921875,3.5941600799560547,3957,61,1278,5,4,6,2,25.042057037353516,18.187999725341797,0,0,0,0,0,0,50095,443,meet
183,1,52,-1,183,-1,167,1,52,-1,279,-1,167,1,52,-1,0.3521442413330078,8.57686996459961,1.104116439819336,0.33402442932128906,9.532928466796875,2.958059310913086,0.32401084899902344,9404,52,1623,12,20,22,3,131.14213943481445,45.076847076416016,0,1,0,0,1,1,47774,1194,mail
247,1,52,-1,215,-1,215,1,52,-1,167,-1,52,1,231,-1,0.3590583801269531,8.939981460571289,1.4259815216064453,0.3609657287597656,59.005022048950195,44.87895965576172,655.2979946136475,5075,52,743,15,17,20,0,1044.7940826416016,655.2979946136475,0,1,0,0,1,1,47774,1194,mail
167,-1,52,1,167,-1,52,1,167,1,52,-1,183,1,52,-1,0.5249977111816406,110.04018783569336,0.6220340728759766,0.7297992706298828,0.370025634765625,4918.601989746094,0.3581047058105469,8828,52,1623,14,18,25,3,5139.310121536255,4918.601989746094,0,1,0,0,1,1,47774,1194,mail
52,-1,199,-1,199,1,52,-1,407,-1,231,1,52,-1,199,-1,10.010004043579102,1.8451213836669922,0.29087066650390625,9.133100509643555,1.8739700317382812,0.29587745666503906,8.979082107543945,5503,52,663,16,16,22,0,830.0571441650391,420.6571578979492,0,1,0,0,0,1,47774,1194,mail
52,1,151,1,151,-1,52,1,151,-1,52,1,151,1,52,-1,0.9338855743408203,8.628129959106445,0.5259513854980469,113.5869026184082,0.5719661712646484,0.5819797515869141,47.94716835021973,8713,52,1623,14,18,26,3,5135.2479457855225,4859.869956970215,0,1,0,0,0,1,47774,1194,mail
167,1,52,-1,343,1,52,-1,215,-1,215,1,52,-1,423,-1,0.33211708068847656,7.848024368286133,0.3600120544433594,9.74893569946289,1.6460418701171875,0.31185150146484375,8.805036544799805,4774,52,423,15,17,20,0,675.29296875,407.38916397094727,0,1,0,0,1,1,47774,1194,mail
247,-1,52,1,919,1,167,-1,52,1,343,-1,52,1,199,1,0.6091594696044922,1.024007797241211,27.13799476623535,0.8080005645751953,135.73002815246582,0.7297992706298828,1.0731220245361328,5222,52,919,17,15,26,0,5256.541013717651,4864.8998737335205,0,1,0,0,1,1,47774,1194,mail
167,1,52,-1,183,1,52,-1,199,-1,167,1,52,-1,679,1,0.33020973205566406,0.40078163146972656,0.33211708068847656,9.032964706420898,0.8461475372314453,1.0089874267578125,0.42700767517089844,9257,52,1623,13,19,19,3,874.5691776275635,698.8098621368408,0,1,0,0,1,1,47774,1194,mail
215,-1,52,1,231,1,215,-1,52,1,199,1,247,-1,775,1,0.5779266357421875,1.21307373046875,26.180028915405273,0.6279945373535156,1.1970996856689453,26.228904724121094,1.783132553100586,5097,52,775,16,16,24,0,5304.726123809814,4918.428897857666,0,1,0,0,1,1,47774,1194,mail
