len_1,dir_1,len_2,dir_2,len_3,dir_3,len_4,dir_4,len_5,dir_5,len_6,dir_6,len_7,dir_7,len_8,dir_8,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,sum_len,min_len,max_len,n_fwd,n_bwd,n_small,n_large,iat_sum,iat_max,syn0,ack0,fin0,rst0,psh0,proto_tcp,port_src,port_dst,label,split,biflow_id,vpn
87,-1,305,1,482,1,87,1,87,-1,297,-1,103,-1,107,1,7.399999999998741,2.200000000000202,0.09999999999976694,16.100000000001558,115.1,1.1999999999989654,2.1000000000004206,6064,86,482,14,18,20,0,593.1999999999996,198.3000000000015,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1000,quic
87,-1,87,-1,527,-1,231,-1,104,1,98,1,361,-1,1412,-1,15.09000000000027,23.40999999999971,0.6500000000002615,3.2600000000000406,3.859999999999971,295.2499999999998,0.6900000000000546,24248,80,1412,19,13,11,14,1201.5000000000007,654.9999999999998,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1001,quic
295,1,87,-1,376,1,87,-1,343,1,260,1,506,1,87,-1,14.10000000000089,18.10000000000045,16.600000000000392,42.299999999999116,0.09999999999976694,9.399999999999409,7.200000000000983,7249,80,802,12,20,17,0,302.0000000000014,65.70000000000144,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1001,quic
562,-1,104,1,1412,-1,1412,-1,1412,-1,104,1,188,-1,1412,-1,1.0509999999999131,0.41000000000002146,1.4420000000000543,1.4409999999999146,0.7090000000000707,0.7420000000000204,1.4689999999999426,26627,101,1412,11,21,10,15,417.84900000000005,386.5510000000001,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1002,quic
87,-1,218,1,87,-1,255,-1,1412,-1,1412,-1,104,1,1412,-1,0.24000000000001798,18.789999999999864,119.32999999999993,1.3900000000000148,1.4300000000000352,1.3700000000000898,0.0700000000000216,14137,80,1412,10,22,15,5,806.5799999999998,350.12,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1002,quic
104,1,277,-1,103,-1,90,-1,104,1,592,-1,1412,-1,305,-1,1.020000000000465,1.4300000000009305,1.6999999999995907,0.8499999999997954,12.119999999999465,1.4500000000001734,1.4099999999999113,16058,87,1412,13,19,13,4,790.4100000000014,412.3099999999997,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1002,quic
295,1,87,-1,440,-1,1412,-1,101,1,1412,-1,101,1,1412,-1,18.5499,178.8111,1.3640000000000043,0.492999999999995,0.882000000000005,0.5649999999999977,0.7849999999999682,23362,87,1412,12,20,14,14,221.81300000000005,178.8111,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1003,quic
1412,-1,101,1,1412,-1,1412,-1,104,1,187,-1,1412,-1,1412,-1,0.4699999999999982,0.8740000000000137,1.346999999999987,0.7710000000000217,0.5399999999999854,1.3789999999999916,1.3500000000000183,30033,98,1412,9,23,10,20,31.464000000000024,1.867000000000008,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1003,quic
1412,-1,443,-1,98,1,320,-1,98,1,440,-1,101,1,87,-1,1.328999999999969,0.04300000000001525,1.2920000000000154,0.7159999999999944,4.533999999999983,5.454999999999988,29.405999999999985,15914,80,1412,14,18,16,7,625.4649999999999,339.385,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1003,quic
1412,-1,104,1,1412,-1,585,-1,101,1,92,-1,98,1,86,-1,1.2900000000000134,0.140000000000029,1.3299999999998313,0.500000000000167,0.8199999999998209,1.1700000000001154,0.17000000000000348,13482,80,1412,15,17,18,5,1187.8299999999997,606.1399999999999,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1003,quic
1412,1,340,1,87,-1,1412,-1,1412,-1,104,1,1412,-1,618,-1,0.03999999999981796,18.320000000000114,114.24000000000012,1.2699999999998965,0.9800000000001887,0.410000000000025,1.3699999999996635,22621,87,1412,18,14,11,12,650.9600000000002,450.75999999999976,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1003,quic
1412,-1,101,1,188,-1,1412,-1,98,1,1412,-1,101,1,1412,-1,1.0099999999999554,0.300000000000189,1.3800000000001589,0.5399999999999849,0.8499999999997954,0.9300000000003195,0.42000000000008697,25632,98,1412,11,21,13,16,28.529999999999944,1.5999999999998238,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1003,quic
802,-1,1412,-1,1015,-1,107,1,1412,-1,1412,-1,1412,-1,104,1,1.3499999999999623,1.4069999999999916,0.17500000000003624,1.0609999999999786,1.3299999999999979,1.2329999999999846,1.2310000000000372,26247,84,1412,7,25,13,15,31.09699999999999,1.4069999999999916,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1004,quic
1412,-1,121,1,157,-1,82,-1,101,1,87,-1,87,-1,87,-1,0.440000000000218,0.8099999999999774,1.2699999999998823,1.9100000000000783,19.19000000000004,1.3299999999998313,23.75000000000016,14029,82,1412,10,22,23,8,73.51999999999983,23.75000000000016,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1004,quic
107,1,1412,-1,1412,-1,1412,-1,104,1,1412,-1,1412,-1,1412,-1,0.3949999999999787,1.4339999999999908,1.4350000000000196,0.7079999999999864,0.7300000000000084,1.438999999999968,1.4760000000000328,27041,87,1412,12,20,10,16,626.0,433.774,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1005,quic
1412,-1,1412,-1,110,1,1412,-1,180,-1,1412,-1,104,1,1412,-1,1.4499999999999513,1.0399999999999299,0.42000000000008697,1.4099999999999113,1.4600000000000168,0.7099999999999884,0.7500000000000284,17502,80,1412,11,21,15,8,926.9799999999999,571.8,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1005,quic
1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,0.0,0.19999999999953388,0.0,0.09999999999976694,2.100000000000435,0.0,1.900000000000901,36239,87,1412,25,7,6,25,57.299999999999685,23.19999999999922,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1005,quic
1412,1,1412,1,814,1,87,-1,87,-1,372,-1,104,1,80,-1,1.900000000000901,0.09999999999976694,15.900000000000247,6.999999999999673,290.1000000000007,3.8999999999998067,5.699999999999136,9839,80,1412,14,18,16,2,798.1999999999996,290.1000000000007,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1005,quic
127,1,1412,-1,1412,-1,1412,-1,188,-1,1412,-1,167,-1,1412,-1,1.5240000000000253,0.23800000000001598,0.5059999999999509,0.003000000000030756,0.6889999999999952,0.08599999999997499,1.4880000000000448,26041,87,1412,8,24,12,15,925.2710000000001,888.3539999999999,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1006,quic
1412,-1,998,-1,92,-1,298,-1,112,1,772,1,1412,1,1412,1,0.4399999999997739,1.3700000000000934,0.08000000000008001,1.4500000000001734,784.0899999999995,0.10000000000070486,0.019999999999186002,29324,80,1412,23,9,7,17,2510.6899999999996,1565.5900000000001,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1006,quic
112,1,372,-1,100,1,80,-1,323,-1,1400,-1,513,-1,592,-1,137.59000000000123,3.38999999999956,4.5000000000001705,0.09000000000014552,0.23999999999981014,0.8900000000000432,0.8699999999990382,16603,80,1412,11,21,9,3,180.9399999999996,137.59000000000123,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1006,quic
116,-1,103,1,87,-1,507,-1,294,-1,106,1,994,1,110,1,3.9199999999990354,0.8499999999997954,20.860000000000767,0.06999999999912632,3.230000000000288,805.5700000000012,0.09999999999979536,6238,87,994,13,19,22,0,1369.0,805.5700000000012,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1006,quic
362,1,297,1,87,-1,87,-1,396,1,87,-1,328,1,482,1,0.700000000000145,16.40000000000086,3.2999999999994145,36.69999999999973,17.70000000000138,24.899999999998812,0.09999999999976694,7299,87,804,13,19,17,0,605.500000000001,168.69999999999942,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1006,quic
1412,1,1412,1,271,1,839,1,87,-1,462,-1,103,1,101,-1,0.09000000000014552,0.019999999999686935,0.08000000000008001,18.710000000000004,22.130000000000205,0.9599999999996314,0.440000000000218,21319,87,1412,21,11,12,11,734.3600000000001,423.1599999999998,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1007,quic
103,1,653,-1,582,-1,688,-1,103,1,381,-1,97,1,274,-1,1.5000000000000568,1.4599999999997948,0.15000000000142677,2.909999999999968,5.899999999998684,4.140000000001365,0.9599999999991837,8203,79,1412,15,17,20,1,1536.8799999999997,757.2100000000006,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1008,quic
123,-1,106,1,360,1,295,1,376,1,86,-1,86,-1,86,-1,4.000000000001336,41.90000000000005,1.1999999999989797,28.200000000000003,5.1000000000005485,9.399999999999409,9.199999999999875,6611,86,801,12,20,20,0,354.0000000000009,66.20000000000027,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1008,quic
297,1,87,-1,326,-1,1412,-1,103,1,1412,-1,1412,-1,180,-1,31.4119,400.7481,1.4950000000000045,0.03500000000002501,1.4329999999999359,1.4160000000000537,1.4659999999999513,24635,87,1412,9,23,13,14,473.2829999999999,400.7481,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1009,quic
117,1,113,-1,267,1,87,-1,376,-1,103,1,80,-1,100,1,0.7899999999994023,1.4500000000001734,17.17999999999975,91.54000000000016,1.7300000000002314,0.5699999999997374,2.1700000000004565,20185,80,1412,12,20,17,12,267.3600000000001,130.34999999999997,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1009,quic
300,1,1392,1,898,1,198,1,67,-1,67,-1,300,1,67,-1,0.0980000000000425,0.03900000000001125,9.90000000000002,9.430999999999965,10.889999999999954,62.38600000000005,19.770000000000067,16003,60,1392,13,19,16,6,776.7539999999999,257.08000000000004,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-101,quic
895,1,309,1,67,-1,67,-1,258,-1,340,-1,148,-1,92,1,4.3800000000000505,16.410000000000032,14.909999999999975,20.219999999999906,0.15999999999993975,0.0,2.6700000000001722,11765,67,1392,12,20,18,3,590.7399999999998,146.10999999999996,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-101,quic
1392,-1,178,-1,1392,-1,709,-1,1392,-1,1392,-1,101,1,1392,-1,0.0,0.21000000000004349,0.010000000000509601,1.8299999999999983,0.3099999999998104,0.2699999999995484,0.05000000000077165,28680,64,1392,3,29,11,17,14.460000000000583,2.040000000000042,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-101,quic
634,-1,92,1,563,-1,669,-1,221,-1,86,1,614,-1,80,1,0.2899999999996794,0.6799999999991257,0.560000000000116,0.32999999999994145,1.440000000000552,4.239999999999355,2.769999999999939,7047,67,972,13,19,20,0,1010.1699999999987,605.5700000000002,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-101,quic
83,1,72,-1,274,-1,83,1,373,1,234,1,67,-1,467,1,2.4999999999995026,0.600000000000378,1.7999999999993577,634.1999999999998,0.09999999999979536,20.20000000000084,337.60000000000014,17936,67,1392,21,11,12,10,1540.0999999999988,634.1999999999998,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-101,quic
1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1284,1,87,-1,0.020000000000131024,0.03999999999981796,0.04000000000026205,0.03999999999981796,0.04999999999988347,0.030000000000196536,18.41999999999988,18459,80,1412,17,15,13,9,3148.900000000001,1843.2199999999998,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1010,quic
103,1,549,1,145,1,87,-1,1412,-1,1412,-1,1412,-1,621,-1,1450.2800000000002,0.08000000000060936,17.69999999999959,59.76000000000067,0.7199999999993452,0.6599999999998545,0.6400000000005548,18895,80,1412,14,18,12,9,3084.350000000001,1450.2800000000002,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1010,quic
1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,0.1000000000015433,0.0,0.0,0.09999999999976694,0.0,0.09999999999976694,1.0999999999992127,38199,87,1412,28,4,4,26,34.70000000000084,15.100000000000335,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1010,quic
107,1,1392,-1,1392,-1,1392,-1,1392,-1,257,-1,92,1,1392,-1,0.6030000000000202,0.8360000000000034,0.07799999999996698,0.002000000000002,0.003000000000030756,2.2340000000000138,2.296999999999994,25849,67,1392,9,23,11,15,445.3599999999999,403.47099999999995,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1011,quic
1392,1,1392,1,1392,1,1392,1,1392,1,1392,1,1392,1,1264,1,0.03999999999981796,0.05000000000032756,0.03999999999981796,0.05999999999994898,0.04000000000026205,0.029999999999752447,0.04999999999988347,20153,60,1392,20,12,13,11,2354.2199999999993,1656.1799999999998,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1011,quic
86,1,82,1,231,1,67,-1,67,-1,806,-1,1392,-1,1392,-1,5.370000000000097,4.0300000000002,15.729999999999578,6.180000000000518,195.26999999999984,0.23999999999981014,0.09000000000014552,27218,67,1392,6,26,11,17,287.0999999999997,195.26999999999984,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1011,quic
107,1,290,1,125,1,67,-1,1392,-1,1392,-1,1392,-1,632,-1,1343.61,0.07999999999969987,19.569999999999936,90.62999999999988,0.27000000000043656,0.32999999999992724,0.06999999999993634,15323,60,1392,14,18,13,6,2653.279999999999,1343.61,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1011,quic
75,1,67,-1,332,-1,348,-1,86,1,171,-1,80,1,454,1,21.34000000000036,164.93,0.09999999999976694,3.2999999999994145,1.6999999999995907,3.300000000001205,691.9000000000005,5293,67,458,13,19,22,0,1405.9699999999998,691.9000000000005,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1011,quic
1392,1,1392,1,1392,1,756,1,67,-1,80,-1,67,-1,89,1,0.09999999999976694,0.0,0.09999999999976694,15.399999999999636,1.7999999999993577,0.4000000000008441,3.1999999999996476,9399,60,1392,14,18,17,3,515.8999999999985,196.8999999999994,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1011,quic
100,1,1412,-1,100,1,1412,-1,100,1,1302,-1,100,1,316,1,1.0110000000000396,1.0020000000000029,1.0769999999999946,0.8969999999999811,1.072999999999991,0.9410000000000256,411.103,16700,79,1412,18,14,17,9,760.0359999999998,411.103,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1012,quic
204,-1,118,1,858,1,294,1,325,1,1412,1,1412,1,989,1,8.000000000000895,959.0499999999995,0.07000000000084583,2.060000000000173,0.06999999999914053,0.030000000000654836,0.04000000000030468,11888,79,1412,18,14,16,3,1156.0199999999995,959.0499999999995,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1013,quic
98,1,216,1,87,-1,445,-1,80,-1,104,1,375,-1,1113,-1,74.3799999999999,21.38000000000018,43.08999999999983,4.480000000000047,2.699999999999932,68.9700000000002,1.4299999999998079,12980,80,1412,13,19,15,4,950.9999999999999,287.7799999999999,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1014,quic
580,-1,107,1,92,-1,245,-1,104,1,98,1,753,1,190,1,0.2300000000001745,1.1700000000001154,1.3999999999998458,1.6400000000000858,2.6600000000001067,33.43999999999969,0.08000000000008356,13216,87,1412,16,16,16,4,948.76,648.4999999999999,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1014,quic
356,-1,1412,-1,101,1,1412,-1,1412,-1,188,-1,101,1,269,-1,1.3999999999998458,1.3600000000000279,0.06000000000039307,1.3999999999998458,1.4199999999999768,0.140000000000029,1.2499999999997513,27552,87,1412,20,12,8,17,663.5200000000003,284.07999999999987,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1014,quic
1412,-1,1412,-1,107,1,180,-1,1412,-1,101,1,353,-1,1412,-1,1.460000000000683,0.8499999999997954,0.4499999999998394,1.4700000000003044,1.0799999999999699,0.2899999999996794,1.420000000000421,26082,101,1412,8,24,12,15,32.68000000000004,1.8700000000002603,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1014,quic
1412,1,1412,1,474,1,843,1,87,-1,477,-1,101,1,994,1,0.06999999999912632,0.030000000000640625,0.12000000000078614,21.67999999999992,21.67999999999992,2.7600000000003178,1407.6899999999987,10276,87,1412,17,15,17,2,1958.13,1407.6899999999987,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1014,quic
72,-1,101,-1,98,1,247,-1,83,-1,83,1,72,-1,72,-1,1.100000000000989,3.0000000000001137,151.49999999999864,0.10000000000155751,3.3999999999991815,0.6000000000003638,0.9999999999994316,12586,67,1392,17,15,17,6,1675.2000000000003,689.7000000000002,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1015,quic
1412,-1,100,1,1412,-1,100,1,1412,-1,100,1,1412,-1,1412,-1,1.2300000000000089,0.20199999999997997,0.6599999999999939,0.7739999999999969,0.22400000000000198,1.2119999999999913,1.436000000000048,20881,100,1412,15,17,17,13,23.011999999999976,1.436000000000048,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1016,quic
1412,-1,1262,-1,744,-1,100,1,1412,-1,1329,-1,1412,-1,121,1,1.420000000000421,1.4199999999995327,1.120000000000232,0.34000000000045105,1.4199999999995327,1.440000000000552,0.4399999999993298,17251,89,1412,14,18,18,9,1426.5600000000004,1305.6199999999994,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1016,quic
802,-1,1412,-1,1022,-1,1412,-1,1412,-1,1412,-1,125,1,1412,-1,2.6530000000000165,1.2499999999999734,1.3290000000000246,1.2659999999999894,1.2639999999999878,0.13400000000002343,1.1260000000000154,28892,87,1412,9,23,7,16,528.485,465.105,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1017,quic
1412,-1,1326,-1,1412,-1,1412,-1,386,-1,101,1,125,1,119,1,1.280000000000392,1.2499999999997513,1.2699999999998823,1.2999999999996348,21.97000000000049,0.8599999999994168,13.790000000000191,17198,80,1412,13,19,12,7,2752.2,2459.670000000001,0,0,0,0,0,0,0,0,google-doc,train,GoogleDoc-1017,quic
300,1,112,1,74,-1,74,-1,112,-1,86,1,328,-1,1294,-1,0.0669956,25.6751044,0.0020999999999986585,0.8638000000000012,216.705,148.08,0.3100000000000591,22514,74,1294,11,21,13,14,439.67900000000003,216.705,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
74,1,1294,-1,1294,-1,74,1,1294,-1,707,-1,74,1,1294,-1,0.2590000000000092,0.3150000000000097,0.018999999999991246,0.6069999999999687,0.12300000000003974,0.01399999999995849,1.024000000000025,25814,74,1294,11,21,11,17,14.477999999999993,2.292000000000016,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
280,-1,1294,-1,74,1,1294,-1,1294,-1,74,1,1294,-1,1294,-1,0.32999999999994145,0.02999999999997449,0.2500000000000835,0.28999999999990145,0.020000000000131024,0.25999999999992696,0.29999999999996696,14468,74,1294,11,21,16,7,1592.27,1217.1100000000001,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
1257,-1,237,-1,74,1,177,-1,112,-1,74,1,112,1,74,-1,0.9500000000000064,0.020000000000131024,0.05999999999994898,0.0,0.020000000000131024,1.3000000000000789,15.819999999999723,21445,74,1434,21,11,12,13,1127.2099999999998,1092.5400000000004,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
74,-1,74,-1,74,-1,74,-1,74,-1,74,-1,74,-1,74,-1,1.260000000000261,0.0,0.07999999999963592,10.54000000000066,0.0,0.0,0.0,8066,74,1434,9,23,24,1,1864.18,1508.89,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
112,1,256,1,74,-1,74,-1,856,-1,1294,-1,74,1,1294,-1,4.209999999999603,9.10999999999973,5.020000000000024,225.97999999999985,0.25000000000031264,0.02999999999974534,0.6200000000005161,23961,74,1294,11,21,12,15,290.02999999999986,225.97999999999985,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
1294,-1,1294,-1,74,1,732,-1,1151,-1,74,1,1294,-1,1294,-1,0.280000000000058,0.030000000000640625,0.08999999999925734,0.300000000000189,0.010000000000509601,0.2699999999995484,0.280000000000058,20148,74,1434,14,18,11,10,2576.67,2551.96,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
236,1,790,1,74,-1,74,-1,74,-1,74,-1,74,-1,74,-1,0.030000000000640625,10.020000000000806,2.509999999999124,0.0800000000005241,1.9399999999993867,0.07000000000090267,0.009999999999621423,12615,74,1294,10,22,14,1,152.4800000000006,61.21000000000086,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
126,1,308,1,482,1,74,-1,74,-1,74,-1,74,-1,334,-1,6.700000000000372,3.4999999999989484,2.000000000000668,0.39999999999906777,12.100000000000222,21.600000000001174,117.49999999999973,5517,74,482,11,21,23,0,278.8000000000004,117.49999999999973,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-1019,quic
296,1,87,-1,372,-1,1412,-1,104,1,1412,-1,98,1,1412,-1,18.7728,214.15619999999998,1.3389999999999986,0.688999999999993,0.7330000000000041,1.224999999999966,0.045000000000015916,22272,87,1412,12,20,14,13,282.96199999999993,214.15619999999998,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
1412,-1,101,1,1412,-1,1412,-1,101,1,1412,-1,1412,-1,101,1,0.5429999999999602,0.7350000000000412,1.4480000000000048,0.8409999999999807,0.4790000000000072,1.3900000000000023,0.14399999999997704,23576,90,1412,11,21,16,14,28.06399999999998,1.9580000000000153,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
101,1,1412,-1,1412,-1,101,1,1412,-1,98,1,188,-1,794,-1,1.1039999999999939,1.342999999999983,0.5550000000000277,0.7519999999999749,1.2500000000000289,0.031999999999976936,1.4100000000000223,22898,87,1412,11,21,13,12,556.063,380.31300000000005,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
101,1,92,-1,98,1,266,-1,98,1,155,1,190,1,87,-1,0.8499999999997954,1.1399999999999189,0.18999999999991246,1.8000000000002458,31.699999999999836,0.05999999999994543,17.00999999999997,13141,87,1412,18,14,15,4,1122.53,721.8100000000001,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
1018,1,225,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,3.610000000000113,0.09000000000014552,0.029999999999752447,0.029999999999752447,0.04999999999988347,0.030000000000640625,0.029999999999752447,22272,87,1412,21,11,11,12,284.11000000000007,149.11999999999992,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
101,1,80,-1,98,1,845,-1,1412,-1,98,1,1412,-1,1412,-1,1.1299999999998533,1.9399999999993867,106.4500000000006,1.3399999999998897,0.9600000000000648,0.3799999999998249,1.3300000000002683,22960,80,1412,12,20,16,14,168.41999999999928,106.4500000000006,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
1412,-1,101,1,1412,-1,188,-1,987,-1,1412,-1,107,1,1262,-1,0.5099999999993443,0.7999999999999119,1.2900000000000134,1.3500000000004064,1.3800000000001589,1.2400000000001299,0.0700000000000145,21626,87,1412,11,21,14,12,1427.5699999999988,1273.95,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
92,-1,109,-1,101,1,860,1,294,1,328,1,1412,1,1412,1,1.3500000000004064,0.5299999999994753,988.1900000000004,0.09000000000014552,0.8400000000001455,0.06999999999914053,0.04000000000030468,14550,80,1412,15,17,13,3,1109.9699999999993,988.1900000000004,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-102,quic
